source,id,text,researcher,year,aggressive,hate,prediction,probability
twitter,1.65848584525358e+18,"ou você é bonita ou você dirige bem, não dá pra ter tudo na vida né!!",oliveira et al,2023,1,1,0.0,1.0702989129640628e-05
twitter,1.65848501267584e+18,"lei de acesso à informação foi ""estuprada"" pelo governo bolsonaro, diz lula link presidente aproveitou o ensejo de comemoração dos 11 anos da lei de acesso à informação para criticar a prática de sigilo do governo anterior",oliveira et al,2023,1,1,0.0,0.004751410335302353
twitter,1.65849054753795e+18,"@user prefiro mamar no seu seios seios maravilhosos e depois você mame bastante meu pau antes de eu lhe comer, bem gostoso e com força ????",oliveira et al,2023,1,1,0.0,0.009144037030637264
twitter,1.65849054945489e+18,@user @user falsidade sem igual. fala mau enquanto não consegue uma boquinha ou uma teta pra mamar,oliveira et al,2023,1,1,1.0,0.9999923706054688
twitter,1.65849052316904e+18,@user aposta todo al negro amigo,oliveira et al,2023,1,1,0.0,4.028528564958833e-05
twitter,1.65848623682539e+18,"o cara cantou ""seu guarda eu não sou vagundo eu não sou delinquente"" bebasso durante o aviso solidario da live da pandemia burro do jeito que é vcs n esperavam isso dele? plmdds link",oliveira et al,2023,1,0,1.0,0.9999889135360718
twitter,1.6584862359572e+18,@user mais que canalha hein? como alguém tem coragem de desperdiçar seu voto elegendo um traste desses? e o pior que quem paga o salário desse desgraçado somos nós os trabalhadores brasileiros! essa desgraça tinha é que ter o mandato cassado! safado!,oliveira et al,2023,1,0,1.0,0.9999920129776001
twitter,1.65848623597398e+18,@user @user @user se você ussasse pelo menos 7% do seu cérebro ia ler o que foi a ppi e ver que a ppi sim é inflar preços artificialmente. pegando um custo interno que é em real e pareando com o valor interncional e em dólar.,oliveira et al,2023,1,0,0.0,2.1425405066111125e-05
twitter,1.6584862360117e+18,@user em que mundo esse corno vive? pqp,oliveira et al,2023,1,0,1.0,0.9999927282333374
twitter,1.65848623797046e+18,@user faz o l caralho,oliveira et al,2023,1,0,1.0,0.999991774559021
twitter,1.65848946444299e+18,"@user @user desde a época do ladrão. na primeira vez que aconteceu com bolsonaro, acabou a farra. com ele não tinha treta.",oliveira et al,2023,1,0,1.0,0.9999818801879883
twitter,1.65848968817138e+18,"@user @user @user eu fico de cara, pq tem um ladrao que montou vários esquemas de corrupção gigantescos nos governando, comprando parlamentares para nos censurar, gastando um monte de cartão corporativo, etc, e vc preocupado se bolsonaro imitou ou não imitou, se sorriu ou não sorriu. eh foda!",oliveira et al,2023,1,0,1.0,0.9999806880950928
twitter,1.65848975480628e+18,o que gostaria de fazer com bolsonaro eh crime mas nao deveria,oliveira et al,2023,1,0,0.0,0.3194999694824219
twitter,1.65848986224756e+18,@user lula e bolsonaro são dois vagabundos que amam ter poder e dinheiro!! parem de idolatrar esses bostas porra.,oliveira et al,2023,1,0,1.0,0.9999926090240479
twitter,1.65848386807963e+18,"essa aqui foi uma pirocada no cu do bolsonaro, o fdp falava q não conseguia fazer isso o lulão foi lá e fez. link",oliveira et al,2023,1,0,1.0,0.9999908208847046
twitter,1.6584841158078e+18,"@user o que é o recalque, sabe que não se elege nem para síndica de prédio e o seu nome é conhecido graças ao bolsonaro, depois que traiu o presidente e viu que não tem apoio de ninguém fica cuspindo no prato que comeu, é a oportunista sem nenhuma vergonha.",oliveira et al,2023,1,0,1.0,0.9999926090240479
twitter,1.65848417440643e+18,"@user @user acho que bolsonaro te enganou ao dizer que só tem um ladrão no brasil. e vc acreditou! há milhões de bandidos, gado.",oliveira et al,2023,1,0,1.0,0.9999918937683105
twitter,1.65848419950933e+18,"@user vai ficar falando do bolsonaro até quando ??? se tu não percebeu, a brasileiro elegeu outra mula já tem uns 7 meses",oliveira et al,2023,1,0,1.0,0.9999692440032959
twitter,1.65848423692252e+18,@user fazueli! pode volta o governo do ódio. volta bolsonaro!,oliveira et al,2023,1,0,1.0,0.9998406171798706
twitter,1.65848431888343e+18,@user @user bolsonaro tem que processar esse esgoto de emissora!,oliveira et al,2023,1,0,1.0,0.9999921321868896
twitter,1.65848441831778e+18,@user bora falar dos gastos do teu mito covarde fujão? bora? ou não tens essa capacidade? link,oliveira et al,2023,1,0,1.0,0.9999924898147583
twitter,1.65848539666855e+18,daily tweet de ódio ao mao isara te odeio mao,oliveira et al,2023,1,0,1.0,0.9991757273674011
twitter,1.65848540590022e+18,nossa eu tenho ódio de gente assim mds manda esse fdp viver assim link,oliveira et al,2023,0,0,1.0,0.9999921321868896
twitter,1.65848558755554e+18,"tópico jisoo: estresse saúde mental cansaço dor de cabeça esgotamento fdp ódio bp vai tnc inferno *carminha gritando* depressão vontade de se jogar da ponte desejo tudo de ruim, tô nem aí, não quero saber jisookarma",oliveira et al,2023,1,0,1.0,0.9999814033508301
twitter,1.65848568010285e+18,mds q ódio odeio gente apaixonada nesse nível entendi q vcs estão juntos a 11 anos desde quando vcs tinham 13 anos agr vcs tem 2 filhos e são casados 6 anos entendi já,oliveira et al,2023,1,0,0.0,1.1168032870045863e-05
twitter,1.65848571223961e+18,ódio dessa aí kkkkk link,oliveira et al,2023,1,0,1.0,0.9999779462814331
twitter,1.65848577309058e+18,"inclusive esses dias tô super no modo ódio ativado e fiquei pensando no quanto os figuras que já mencionei aqui antes, foram maus mesmo, insensíveis comigo inclusive sai deixando de seguir em tudo e desejo só que se foda agora link",oliveira et al,2023,1,0,1.0,0.999599039554596
twitter,1.65848585601615e+18,eu queria ver esses fela da puta coach que praticamente fala q vc só é pobre pq n investe ficar dois ou três anos nesse experimento de viver do jeito q pregam como certo. 309 de mercado? 150 pra pagar água luz internet? vsf me dá um ódio tão grande link,oliveira et al,2023,1,0,1.0,0.9999901056289673
twitter,1.65848595184343e+18,@user maioria dessas desgr4ç4d4s nem fã eram me dá um ódio,oliveira et al,2023,1,0,1.0,0.9999914169311523
twitter,1.65848611684735e+18,"tô pegando um ódio tão grande de vc, q vc n tem noção",oliveira et al,2023,0,0,1.0,0.9999583959579468
twitter,1.65848612662006e+18,"hoje um racista desgraçado filho da puta acabou com a porra do meu dia nossa que odio, vou ter um treco",oliveira et al,2023,1,0,1.0,0.9999920129776001
twitter,1.65848621162603e+18,"roubaram meu celular no trabalho e eu tô só o ódio , meu telefone tem so 6 meses de uso comprei com maior luta pra vim um desgraçado desse levar assim tô mt puta ??",oliveira et al,2023,1,0,1.0,0.9999866485595703
twitter,1.65848628430073e+18,ódio dessa bolha de pessoas,oliveira et al,2023,1,0,1.0,0.9999899864196777
twitter,1.65848629498781e+18,que ódio dessa gente que bota negócio de reagir onde passa o story,oliveira et al,2023,1,0,1.0,0.9999316930770874
twitter,1.6584863548783e+18,"egua me ódio q esse pnc bagunça c todo mundo, mas ninguém pode retrucar q ele fica putinho",oliveira et al,2023,1,0,1.0,0.9999920129776001
